k,scenario,event_id,n_predicted_correct,gross_event_return,cost,net_event_return,cost_bps
5,no_cost,00919_20241217,1,0.014716,0.0,0.014716,0.0
5,no_cost,00919_20250603,3,0.01961,0.0,0.01961,0.0
5,no_cost,00919_20251216,0,-0.02063,0.0,-0.02063,0.0
5,fee_tax,00919_20241217,1,0.014716,0.00585,0.008866,58.5
5,fee_tax,00919_20250603,3,0.01961,0.00585,0.01376,58.5
5,fee_tax,00919_20251216,0,-0.02063,0.00585,-0.02648,58.5
5,fee_tax_slippage,00919_20241217,1,0.014716,0.00985,0.004866,98.5
5,fee_tax_slippage,00919_20250603,3,0.01961,0.00985,0.00976,98.5
5,fee_tax_slippage,00919_20251216,0,-0.02063,0.00985,-0.03048,98.5
8,no_cost,00919_20241217,1,0.00701,0.0,0.00701,0.0
8,no_cost,00919_20250603,5,0.015347,0.0,0.015347,0.0
8,no_cost,00919_20251216,0,-0.022987,0.0,-0.022987,0.0
8,fee_tax,00919_20241217,1,0.00701,0.00585,0.00116,58.5
8,fee_tax,00919_20250603,5,0.015347,0.00585,0.009497,58.5
8,fee_tax,00919_20251216,0,-0.022987,0.00585,-0.028837,58.5
8,fee_tax_slippage,00919_20241217,1,0.00701,0.00985,-0.00284,98.5
8,fee_tax_slippage,00919_20250603,5,0.015347,0.00985,0.005497,98.5
8,fee_tax_slippage,00919_20251216,0,-0.022987,0.00985,-0.032837,98.5
10,no_cost,00919_20241217,2,0.022385,0.0,0.022385,0.0
10,no_cost,00919_20250603,5,0.008571,0.0,0.008571,0.0
10,no_cost,00919_20251216,0,-0.021477,0.0,-0.021477,0.0
10,fee_tax,00919_20241217,2,0.022385,0.00585,0.016535,58.5
10,fee_tax,00919_20250603,5,0.008571,0.00585,0.002721,58.5
10,fee_tax,00919_20251216,0,-0.021477,0.00585,-0.027327,58.5
10,fee_tax_slippage,00919_20241217,2,0.022385,0.00985,0.012535,98.5
10,fee_tax_slippage,00919_20250603,5,0.008571,0.00985,-0.001279,98.5
10,fee_tax_slippage,00919_20251216,0,-0.021477,0.00985,-0.031327,98.5
