group,window,N,mean_CAR,std_CAR,t_stat,p_value,sig
整體（35 事件）,"[-30, 0]   公告前 30 日",303,0.02186915698982834,0.0914129853168783,4.1643331327408095,4.078982261378533e-05,***
整體（35 事件）,"[-5,  0]   公告前一週",303,0.010308043520184666,0.04179928110949485,4.29268227493438,2.3809596654525315e-05,***
整體（35 事件）,"[0,  +5]   公告後一週",302,-0.00018838120899114538,0.053518856402835976,-0.06116940082486933,0.951264893980208,—
整體（35 事件）,"[+1, +11]  生效後 10 日",303,-0.0062425663758950796,0.06870250614237229,-1.5816555275106075,0.1147749252473977,—
整體（35 事件）,"[+1, +31]  生效後 30 日",303,-0.04198622543380438,0.09576055855186004,-7.632054745863193,3.0498782737322833e-13,***
整體（排除 2022Dec，34 事件）,"[-30, 0]   公告前 30 日",277,0.022395886457384346,0.09053464392313956,4.117118278055867,5.072297396974158e-05,***
整體（排除 2022Dec，34 事件）,"[-5,  0]   公告前一週",277,0.010637956236207993,0.04259335890783471,4.156771904530128,4.311060091802215e-05,***
整體（排除 2022Dec，34 事件）,"[0,  +5]   公告後一週",277,-0.0010240119667998555,0.05461138404587988,-0.31207697899523323,0.7552176529210781,—
整體（排除 2022Dec，34 事件）,"[+1, +11]  生效後 10 日",277,-0.005885799503293178,0.07048882817458527,-1.389712800364661,0.1657360478689866,—
整體（排除 2022Dec，34 事件）,"[+1, +31]  生效後 30 日",277,-0.04267427508640423,0.09805212874729312,-7.243509101787918,4.373801485863889e-12,***
0056,"[-30, 0]   公告前 30 日",61,0.017497557066317834,0.10042537474681261,1.3608143335377945,0.17866216535247245,—
0056,"[-5,  0]   公告前一週",61,0.0035121342388992564,0.031353857327475795,0.8748730663217551,0.38513168320817925,—
0056,"[0,  +5]   公告後一週",60,0.010515601136922162,0.0406620082664723,2.0031842899525647,0.049757929010233994,**
0056,"[+1, +11]  生效後 10 日",61,0.019875797376729478,0.06815078212652773,2.277815971822317,0.02631421804158364,**
0056,"[+1, +31]  生效後 30 日",61,-0.023487742012370638,0.08996782096978574,-2.039008252756328,0.045861717609498934,**
00713,"[-30, 0]   公告前 30 日",179,0.013270636807020906,0.08433245536547535,2.1053462633628683,0.03666428005094145,**
00713,"[-5,  0]   公告前一週",179,0.009178502547265486,0.042919050405325725,2.8612001803235323,0.004725969249898361,***
00713,"[0,  +5]   公告後一週",179,0.00743685209132719,0.047268861433666355,2.1049438625532884,0.03669977083094099,**
00713,"[+1, +11]  生效後 10 日",179,-0.004268901421301647,0.05881645808847801,-0.9710548768022627,0.3328386253558653,—
00713,"[+1, +31]  生效後 30 日",179,-0.03386681425784117,0.08720178128497046,-5.19607612351481,5.534557557514693e-07,***
00919,"[-30, 0]   公告前 30 日",63,0.05053269203834695,0.09725318827082015,4.124191872448692,0.00011263274915698253,***
00919,"[-5,  0]   公告前一週",63,0.020097540350517095,0.046088500695778044,3.4611514539737493,0.0009795032936886423,***
00919,"[0,  +5]   公告後一週",63,-0.032047995518701945,0.06787692171601911,-3.7475635613829072,0.00039424578116177073,***
00919,"[+1, +11]  生效後 10 日",63,-0.037139490435931934,0.0831399052126024,-3.545656755147821,0.0007519160708537222,***
00919,"[+1, +31]  生效後 30 日",63,-0.08296689351642145,0.11300133223509243,-5.827624231173263,2.1731682403162578e-07,***
