window_label,stock_col,window,N,mean_CAR,std_CAR,t_stat,p_value
"[-30, 0]  公告前 30 日",added_stocks,"[-30, 0]",71,0.0486440661944775,0.09463883316429159,4.331014802553864,4.857049811520305e-05
"[-30, 0]  公告前 30 日",removed_stocks,"[-30, 0]",61,-0.04367483963177078,0.08536642491189632,-3.995849684830563,0.00017877656635455333
"[-5, 0]   公告前一週",added_stocks,"[-5, 0]",71,0.02378873489655006,0.048169392788692235,4.161303092028447,8.861651451920058e-05
"[-5, 0]   公告前一週",removed_stocks,"[-5, 0]",61,-0.0024197500539296433,0.054924666480195915,-0.34408678806076015,0.7319840335233618
"[0, +5]   公告後一週",added_stocks,"[0, 5]",71,-0.023693220983856563,0.07203682867328784,-2.7713966910507586,0.007144245067972712
"[0, +5]   公告後一週",removed_stocks,"[0, 5]",61,0.005797864643700168,0.0642635235629993,0.7046418861551831,0.48375939790140343
"[0, 1]    公告→生效",added_stocks,"[0, 1]",71,-0.007781719722361505,0.04153875131935768,-1.578524481137733,0.11895384202035904
"[0, 1]    公告→生效",removed_stocks,"[0, 1]",61,0.004196123561292716,0.03899871826640401,0.8403551229754972,0.40404568550421993
"[1, 11]   生效後 10 日",added_stocks,"[1, 11]",71,-0.032832554909243084,0.07949745278738626,-3.480011187795125,0.0008672479762024327
"[1, 11]   生效後 10 日",removed_stocks,"[1, 11]",61,-0.016243208210928443,0.08530929424994192,-1.4871007055034282,0.14222480323289224
"[1, 31]   生效後 30 日",added_stocks,"[1, 31]",71,-0.07417990852726573,0.11275506250788991,-5.543440848764781,4.906072076534158e-07
"[1, 31]   生效後 30 日",removed_stocks,"[1, 31]",61,-0.024691174426589368,0.18264907059551835,-1.0558183320301884,0.2952840768754296
