event_id,ann_date,n_trades,n_confirmed,n_rejected,hypothetical_event_return
2,2020-12-09,15,0,15,-0.016161399962396582
3,2021-05-12,15,0,15,0.007056957517037684
4,2021-12-08,15,0,15,-0.0013301818324733983
5,2022-05-11,14,2,12,0.008485951106429555
6,2022-12-07,12,0,12,-0.022014258131528075
7,2023-05-10,10,1,9,-0.016289707631691228
11,2023-08-09,9,2,7,0.034381610473570766
8,2023-12-06,8,1,7,0.06298280430493003
9,2024-05-08,5,2,3,0.014064553344896724
12,2024-08-07,4,2,2,-0.03756925146835659
10,2024-12-04,4,0,4,-0.004152756859275075
